conference_name,event_type,attendence_type,start_date,end_date,address,sponsors,map,website
2024 IEEE International Conference on Advanced Learning Technologies (ICALT),Technical Conference,Hybrid,1 July 2024,4 July 2024,"Nicosia, North Cyprus, Cyprus (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.17197%2C33.36489&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://tc.computer.org/tclt/icalt-2024/
2024 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),Technical Conference,In Person,1 July 2024,3 July 2024,"Knoxville, Tennessee, USA","['IEEE Computer Society', 'IEEE Circuits and Systems Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.96068%2C-83.92103&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieee-isvlsi.org/
"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",Technical Conference,In Person,2 July 2024,4 July 2024,"Osaka, Japan",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.6937249%2C135.5022535&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.compsac.org/
2024 IEEE 30th International Symposium on On-Line Testing and Robust System Design (IOLTS),Technical Conference,In Person,3 July 2024,5 July 2024,"Rennes, France","['IEEE Computer Society', 'IEEE Council on Electronic Design Automation']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=48.117266%2C-1.6777926&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://iolts.tttc-events.org/
2024 IEEE World Congress on Services (SERVICES),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conferences.computer.org/services/2024/
2024 IEEE 17th International Conference on Cloud Computing (CLOUD),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cloud.conferences.computer.org/2024/
2024 IEEE International Conference on Edge Computing and Communications (EDGE),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://edge.conferences.computer.org/2024/
2024 IEEE International Conference on Digital Health (ICDH),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icdh.conferences.computer.org/2024/
2024 IEEE International Conference on Web Services (ICWS),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icws.conferences.computer.org/2024/
2024 IEEE International Conference on Quantum Software (QSW),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://qsw.conferences.computer.org/2024/
2024 IEEE International Conference on Software Services Engineering (SSE),Technical Conference,In Person,7 July 2024,13 July 2024,"Shenzhen, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.5428599%2C114.05956&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sse.conferences.computer.org/2024/
2024 IEEE 9th European Symposium on Security and Privacy (EuroS&P),Technical Conference,In Person,8 July 2024,12 July 2024,"Vienna, Austria",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=48.2081743%2C16.3738189&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://eurosp2024.ieee-security.org/
2024 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),Technical Conference,In Person,8 July 2024,12 July 2024,"Vienna, Austria",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=48.2081743%2C16.3738189&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://eurosp2024.ieee-security.org/workshops.html
2024 IEEE 37th Computer Security Foundations Symposium (CSF),Technical Conference,In Person,8 July 2024,12 July 2024,"Enschede, Netherlands",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=52.2215372%2C6.8936619&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://csf2024.ieee-security.org/
2024 IEEE International Conference on Multimedia and Expo (ICME),Technical Conference,In Person,15 July 2024,19 July 2024,"Niagara Falls, Ontario, Canada","['IEEE Computer Society', 'IEEE Circuits and Systems Society', 'IEEE Communications Society', 'IEEE Signal Processing Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.0895577%2C-79.0849436&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.ieeeicme.org/
2024 IEEE 10th International Conference on Space Mission Challenges for Information Technology (SMC-IT),Technical Conference,In Person,15 July 2024,19 July 2024,"Mountain View, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.38971%2C-122.08157&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://smcit-scc.space/
2024 IEEE Space Computing Conference (SCC),Technical Conference,In Person,15 July 2024,19 July 2024,"Mountain View, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.38971%2C-122.08157&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://smcit-scc.space/
2024 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://ieeedapps.com/
2024 IEEE International Congress On Intelligent and Service-Oriented Systems Engineering (CISOSE),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieee-cisose-congress.org/
2024 IEEE Intelligent Mobile Computing (MobileCloud),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieee-cisose-congress.org/
2024 IEEE International Conference on Joint Cloud Computing (JCC),Technical Conference,Hybrid,15 July 2024,18 July 2024,"Shanghai, China (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://ieeejcc.org/
2024 IEEE International Conference on Service-Oriented System Engineering (SOSE),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeesose.com/
2024 IEEE International Conference on Artificial Intelligence Testing (AITest),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeeaitest.com/
2024 IEEE 10th International Conference on Big Data Computing Service and Machine Learning Applications (BigDataService),Technical Conference,In Person,15 July 2024,18 July 2024,"Shanghai, China",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeebigdataservice.com/
"2024 IEEE/ACIS 9th International Conference on Big Data, Cloud Computing, and Data Science (BCD)",Technical Conference,In Person,16 July 2024,18 July 2024,"Kitakyushu, Japan","['IEEE Computer Society', 'International Association for Computer & Information Science - ACIS']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=33.8834976%2C130.8751773&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://acisinternational.org/conferences/bcd-2024/
2024 IEEE International Conference on Computational Photography (ICCP),Technical Conference,Hybrid,22 July 2024,24 July 2024,"Lausanne, Switzerland (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=46.5196535%2C6.6322734&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://iccp2024.iccp-conference.org/
2024 IEEE 44th International Conference on Distributed Computing Systems (ICDCS),Technical Conference,In Person,23 July 2024,26 July 2024,"Jersey City, New Jersey, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71748%2C-74.04385&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icdcs2024.icdcs.org/
2024 IEEE 44th International Conference on Distributed Computing Systems Workshops (ICDCSW),Technical Conference,In Person,23 July 2024,23 July 2024,"Jersey City, New Jersey, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.71748%2C-74.04385&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icdcs2024.icdcs.org/
"2024 IEEE 35th International Conference on Application-specific Systems, Architectures and Processors (ASAP)",Technical Conference,In Person,24 July 2024,26 July 2024,"Hong Kong, Hong Kong",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=22.3193039%2C114.1693611&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://asap2024.org/
2024 IEEE International Conference on Omni-layer Intelligent Systems (COINS),Technical Conference,Hybrid,29 July 2024,31 July 2024,"London, United Kingdom (Hybrid)","['IEEE Computer Society', 'IEEE Council on Electronic Design Automation', 'United Kingdom & Ireland Section CIS Chapter', 'United Kingdom & Ireland Section RA Chapter', 'Pirouzan Silicon Intelligence Center - PISI Center', 'Region 08 - Europe', 'United Kingdom & Ireland Section', 'IEEE Robotics and Automation Society', 'United Kingdom & Ireland Section WIE Affinity Group']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=51.5072178%2C-0.1275862&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://coinsconf.com/
2024 IEEE International Conference on Information Reuse and Integration for Data Science (IRI),Technical Conference,In Person,7 August 2024,9 August 2024,"San Jose, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.33874%2C-121.8852525&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://homepages.uc.edu/~niunn/IRI24/
2024 IEEE 7th International Conference on Multimedia Information Processing and Retrieval (MIPR),Technical Conference,In Person,7 August 2024,9 August 2024,"San Jose, California, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.33874%2C-121.8852525&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sites.google.com/view/mipr2024
"2024 7th International Conference on Education, Network and Information Technology (ICENIT)",Technical Conference,Hybrid,16 August 2024,18 August 2024,"Dalian, China (Hybrid)","['IEEE Computer Society', 'University of Haute Alsace', 'Wuhan Institute of Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9139899%2C121.6147&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.icenit.org/
2024 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),Technical Conference,Hybrid,16 August 2024,18 August 2024,"Dalian, China (Hybrid)","['IEEE Computer Society', 'Beijing University of Technology', 'University of Haute Alsace', 'Zhengzhou University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9139899%2C121.6147&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://www.aeeca.com/
2024 IEEE International Conference on Blockchain (Blockchain),Technical Conference,In Person,19 August 2024,22 August 2024,"Copenhagen, Denmark",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=55.6760968%2C12.5683371&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieee-cybermatics.org/2024/blockchain/
"2024 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)",Technical Conference,In Person,19 August 2024,22 August 2024,"Copenhagen, Denmark",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=55.6760968%2C12.5683371&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieee-cybermatics.org/2024/
2024 IEEE 30th International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA),Technical Conference,In Person,21 August 2024,23 August 2024,"Sokcho, Korea (South)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.18474%2C128.58143&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://rtcsa2024.github.io/
2024 IEEE Symposium on High-Performance Interconnects (HOTI),Technical Conference,Virtual,21 August 2024,23 August 2024,Virtual,['IEEE Computer Society'],,https://hoti.org/
2024 IEEE Hot Chips 36 Symposium (HCS),Technical Conference,Hybrid,25 August 2024,27 August 2024,"Stanford, California, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.43137%2C-122.16892&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.hotchips.org/
2024 IEEE SustainTech Expo: Technology Solutions for a Sustainable Future (SustainTech),Technical Conference,In Person,27 August 2024,28 August 2024,"San Diego, California, USA","['IEEE Computer Society', 'IEEE Communications Society', 'IEEE Power & Energy Society', 'IEEE Signal Processing Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=32.715738%2C-117.1610838&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeesustaintechexpo.org/
"2024 21st Annual International Conference on Privacy, Security and Trust (PST)",Technical Conference,In Person,28 August 2024,30 August 2024,"Sydney, Australia","['IEEE Computer Society', 'Canadian Institute for Cybersecurity', 'University of New South Wales - UNSW']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=-33.8688197%2C151.2092955&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://pstnet.ca/
2024 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),Technical Conference,In Person,2 September 2024,6 September 2024,"Liverpool, United Kingdom",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=53.4083714%2C-2.9915726&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/vlhcc-2024
2024 IEEE International Conference on Quantum Computing and Engineering (QCE),Technical Conference,Hybrid,15 September 2024,20 September 2024,"Montreal, Quebec, Canada (Hybrid)","['IEEE Computer Society', 'IEEE Communications Society', 'IEEE Council of Superconductivity', 'IEEE Photonics Society']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=45.5018869%2C-73.56739189999999&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://qce.quantum.ieee.org/2024/
2024 IEEE International Symposium on Workload Characterization (IISWC),Technical Conference,In Person,15 September 2024,17 September 2024,"Vancouver, British Columbia, Canada",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=49.2827291%2C-123.1207375&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://iiswc.org/
2024 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),Technical Conference,In Person,16 September 2024,20 September 2024,"Aarhus, Denmark",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=56.15302%2C10.20486&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.acsos.org/
2024 IEEE 20th International Conference on e-Science (e-Science),Technical Conference,In Person,16 September 2024,20 September 2024,"Osaka, Japan",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.6937249%2C135.5022535&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.escience-conference.org/2024/
2024 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),Technical Conference,In Person,16 September 2024,20 September 2024,"Aarhus, Denmark",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=56.15302%2C10.20486&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.acsos.org/
2024 ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems (MODELS),Technical Conference,In Person,22 September 2024,27 September 2024,"Linz, Austria","['IEEE Computer Society', 'Association for Computing Machinery - ACM']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=48.30694%2C14.28583&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/models-2024
2024 IEEE 21st International Conference on Mobile Ad-Hoc and Smart Systems (MASS),Technical Conference,In Person,23 September 2024,25 September 2024,"Seoul, Korea (South)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=37.55886%2C126.99989&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://sites.google.com/view/ieee-mass-2024/
2024 IEEE International Conference on Cluster Computing (CLUSTER),Technical Conference,In Person,24 September 2024,27 September 2024,"Kobe, Japan",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.6900806%2C135.1956311&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://clustercomp.org/
2024 IEEE International Conference on Cluster Computing Workshops (CLUSTER Workshops),Technical Conference,Hybrid,24 September 2024,27 September 2024,"Kobe, Japan (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.6900806%2C135.1956311&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://clustercomp.org/committee/
2024 IEEE International Conference on Cloud Engineering (IC2E),Technical Conference,In Person,24 September 2024,27 September 2024,"Paphos, Cyprus",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=34.77539489999999%2C32.4217786&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conferences.computer.org/IC2E/2024/index.html
2024 IEEE Region 10 Symposium (TENSYMP),Technical Conference,In Person,27 September 2024,29 September 2024,"New Delhi, India","['IEEE Computer Society', 'IEEE Control Systems Society', 'IEEE Electron Devices Society', 'IEEE Industry Applications Society', 'IEEE Intelligent Transportation Systems Society', 'IEEE Power & Energy Society', 'Region 10 - Asia and Pacific', 'Delhi Section']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=28.6139391%2C77.2090212&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeedelhi-tensymp2024.org/
2024 IEEE International Conference on Software Maintenance and Evolution (ICSME),Technical Conference,In Person,6 October 2024,11 October 2024,"Flagstaff, Arizona, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.1982836%2C-111.651302&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/icsme-2024
2024 IEEE International Conference on Source Code Analysis and Manipulation (SCAM),Technical Conference,In Person,6 October 2024,7 October 2024,"Flagstaff, Arizona, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.1982836%2C-111.651302&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieee-scam.org/2024/
2024 IEEE Secure Development Conference (SecDev),Technical Conference,Hybrid,7 October 2024,10 October 2024,"Pittsburgh, Pennsylvania, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=40.44062479999999%2C-79.9958864&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://secdev.ieee.org/
2024 IEEE 49th Conference on Local Computer Networks (LCN),Technical Conference,In Person,8 October 2024,10 October 2024,"Normandy, France",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=49.44014%2C1.0894&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ieeelcn.org/
2024 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),Technical Conference,In Person,8 October 2024,10 October 2024,"Didcot, United Kingdom",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=51.60237%2C-1.23211&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.dfts.org/
2024 IEEE International Conference on e-Business Engineering (ICEBE),Technical Conference,Hybrid,11 October 2024,13 October 2024,"Shanghai, China (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=31.230416%2C121.473701&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conferences.computer.org/icebe/2024/index.htm
2024 IEEE Visualization and Visual Analytics (VIS),Technical Conference,In Person,13 October 2024,18 October 2024,"Tampa Bay, Florida, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=27.763383%2C-82.5436722&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeevis.org/
2024 IEEE Frontiers in Education Conference (FIE),Technical Conference,In Person,13 October 2024,16 October 2024,"Washington, District of Columbia, USA","['IEEE Computer Society', 'IEEE Education Society', 'ASEE Educational Research Methods Division']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9071923%2C-77.0368707&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://2024.fie-conference.org/
2024 IEEE Digital Platforms and Societal Harms,Technical Conference,Hybrid,14 October 2024,15 October 2024,"Washington, District of Columbia, USA (Hybrid)","['IEEE Computer Society', 'Northern Virginia/Washington Jt. C Chapter', 'IEEE Society on Social Implications of Technology']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.9071923%2C-77.0368707&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.computer.org/conferences/dpsh-2024
2024 IEEE 65th Annual Symposium on Foundations of Computer Science (FOCS),Technical Conference,In Person,20 October 2024,23 October 2024,"Chicago, Illinois, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=41.8781136%2C-87.6297982&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,
2024 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),Technical Conference,Hybrid,21 October 2024,25 October 2024,"Bellevue, Washington, USA (Hybrid)",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=47.6101497%2C-122.2015159&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.ismar.net/
2024 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC),Technical Conference,In Person,24 October 2024,26 October 2024,"Guangzhou, China","['IEEE Computer Society', 'The Hong Kong University of Science and Technology (Guangzhou)', 'University of Louisville - Minds Lab']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=23.1290799%2C113.26436&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://cyberc.org/
2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),Technical Conference,In Person,27 October 2024,1 November 2024,"Sacramento, California, USA","['IEEE Computer Society', 'ACM SIGAI', 'Association for Computing Machinery Special Interest Group on Software Engineering - ACM SIGSOFT']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=38.5815719%2C-121.4943996&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/ase-2024
2024 IEEE 32nd International Conference on Network Protocols (ICNP),Technical Conference,In Person,28 October 2024,31 October 2024,"Charleroi, Belgium",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=50.41081%2C4.44022&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://icnp24.cs.ucr.edu/
